Date	Price	Year	Week	Digital Year	Selected Years
09/20/93	1.045	1993	38	1993.7115	0
09/27/93	1.047	1993	39	1993.7308	0
10/04/93	1.092	1993	40	1993.7500	0
10/11/93	1.09	1993	41	1993.7692	0
10/18/93	1.093	1993	42	1993.7885	0
10/25/93	1.092	1993	43	1993.8077	0
11/01/93	1.084	1993	44	1993.8269	0
11/08/93	1.075	1993	45	1993.8462	0
11/15/93	1.064	1993	46	1993.8654	0
11/22/93	1.058	1993	47	1993.8846	0
11/29/93	1.051	1993	48	1993.9038	0
12/06/93	1.036	1993	49	1993.9231	0
12/13/93	1.018	1993	50	1993.9423	0
12/20/93	1.003	1993	51	1993.9615	0
12/27/93	0.999	1993	52	1993.9808	0
01/03/94	0.992	1994	1	1994	0
01/10/94	0.995	1994	2	1994.0192	0
01/17/94	1.001	1994	3	1994.0385	0
01/24/94	0.999	1994	4	1994.0577	0
01/31/94	1.005	1994	5	1994.0769	0
02/07/94	1.007	1994	6	1994.0962	0
02/14/94	1.016	1994	7	1994.1154	0
02/21/94	1.009	1994	8	1994.1346	0
02/28/94	1.004	1994	9	1994.1538	0
03/07/94	1.007	1994	10	1994.1731	0
03/14/94	1.005	1994	11	1994.1923	0
03/21/94	1.007	1994	12	1994.2115	0
03/28/94	1.012	1994	13	1994.2308	0
04/04/94	1.011	1994	14	1994.2500	0
04/11/94	1.028	1994	15	1994.2692	0
04/18/94	1.033	1994	16	1994.2885	0
04/25/94	1.037	1994	17	1994.3077	0
05/02/94	1.04	1994	18	1994.3269	0
05/09/94	1.045	1994	19	1994.3462	0
05/16/94	1.046	1994	20	1994.3654	0
05/23/94	1.05	1994	21	1994.3846	0
05/30/94	1.056	1994	22	1994.4038	0
06/06/94	1.065	1994	23	1994.4231	0
06/13/94	1.073	1994	24	1994.4423	0
06/20/94	1.079	1994	25	1994.4615	0
06/27/94	1.095	1994	26	1994.4808	0
07/04/94	1.097	1994	27	1994.5000	0
07/11/94	1.103	1994	28	1994.5192	0
07/18/94	1.109	1994	29	1994.5385	0
07/25/94	1.114	1994	30	1994.5577	0
08/01/94	1.13	1994	31	1994.5769	0
08/08/94	1.157	1994	32	1994.5962	0
08/15/94	1.161	1994	33	1994.6154	0
08/22/94	1.165	1994	34	1994.6346	0
08/29/94	1.161	1994	35	1994.6538	0
09/05/94	1.156	1994	36	1994.6731	0
09/12/94	1.15	1994	37	1994.6923	0
09/19/94	1.14	1994	38	1994.7115	0
09/26/94	1.129	1994	39	1994.7308	0
10/03/94	1.12	1994	40	1994.7500	0
10/10/94	1.114	1994	41	1994.7692	0
10/17/94	1.106	1994	42	1994.7885	0
10/24/94	1.107	1994	43	1994.8077	0
10/31/94	1.121	1994	44	1994.8269	0
11/07/94	1.123	1994	45	1994.8462	0
11/14/94	1.122	1994	46	1994.8654	0
11/21/94	1.113	1994	47	1994.8846	0
11/28/94	1.082	1994	48	1994.9038	0
12/05/94	1.075	1994	49	1994.9231	0
12/12/94	1.064	1994	50	1994.9423	0
12/19/94	1.056	1994	51	1994.9615	0
12/26/94	1.044	1994	52	1994.9808	0
01/02/95	1.063	1995	1	1995	0
01/09/95	1.07	1995	2	1995.0192	0
01/16/95	1.062	1995	3	1995.0385	0
01/23/95	1.068	1995	4	1995.0577	0
01/30/95	1.068	1995	5	1995.0769	0
02/06/95	1.062	1995	6	1995.0962	0
02/13/95	1.058	1995	7	1995.1154	0
02/20/95	1.052	1995	8	1995.1346	0
02/27/95	1.06	1995	9	1995.1538	0
03/06/95	1.063	1995	10	1995.1731	0
03/13/95	1.056	1995	11	1995.1923	0
03/20/95	1.055	1995	12	1995.2115	0
03/27/95	1.063	1995	13	1995.2308	0
04/03/95	1.077	1995	14	1995.2500	0
04/10/95	1.094	1995	15	1995.2692	0
04/17/95	1.11	1995	16	1995.2885	0
04/24/95	1.133	1995	17	1995.3077	0
05/01/95	1.141	1995	18	1995.3269	0
05/08/95	1.164	1995	19	1995.3462	0
05/15/95	1.173	1995	20	1995.3654	0
05/22/95	1.191	1995	21	1995.3846	0
05/29/95	1.193	1995	22	1995.4038	0
06/05/95	1.194	1995	23	1995.4231	0
06/12/95	1.19	1995	24	1995.4423	0
06/19/95	1.183	1995	25	1995.4615	0
06/26/95	1.177	1995	26	1995.4808	0
07/03/95	1.169	1995	27	1995.5000	0
07/10/95	1.159	1995	28	1995.5192	0
07/17/95	1.148	1995	29	1995.5385	0
07/24/95	1.138	1995	30	1995.5577	0
07/31/95	1.126	1995	31	1995.5769	0
08/07/95	1.124	1995	32	1995.5962	0
08/14/95	1.121	1995	33	1995.6154	0
08/21/95	1.122	1995	34	1995.6346	0
08/28/95	1.113	1995	35	1995.6538	0
09/04/95	1.111	1995	36	1995.6731	0
09/11/95	1.107	1995	37	1995.6923	0
09/18/95	1.106	1995	38	1995.7115	0
09/25/95	1.106	1995	39	1995.7308	0
10/02/95	1.1	1995	40	1995.7500	0
10/09/95	1.092	1995	41	1995.7692	0
10/16/95	1.081	1995	42	1995.7885	0
10/23/95	1.073	1995	43	1995.8077	0
10/30/95	1.062	1995	44	1995.8269	0
11/06/95	1.06	1995	45	1995.8462	0
11/13/95	1.059	1995	46	1995.8654	0
11/20/95	1.056	1995	47	1995.8846	0
11/27/95	1.057	1995	48	1995.9038	0
12/04/95	1.058	1995	49	1995.9231	0
12/11/95	1.057	1995	50	1995.9423	0
12/18/95	1.072	1995	51	1995.9615	0
12/25/95	1.075	1995	52	1995.9808	0
01/01/96	1.077	1996	1	1996	0
01/08/96	1.086	1996	2	1996.0192	0
01/15/96	1.092	1996	3	1996.0385	0
01/22/96	1.084	1996	4	1996.0577	0
01/29/96	1.079	1996	5	1996.0769	0
02/05/96	1.076	1996	6	1996.0962	0
02/12/96	1.073	1996	7	1996.1154	0
02/19/96	1.078	1996	8	1996.1346	0
02/26/96	1.099	1996	9	1996.1538	0
03/04/96	1.115	1996	10	1996.1731	0
03/11/96	1.116	1996	11	1996.1923	0
03/18/96	1.128	1996	12	1996.2115	0
03/25/96	1.158	1996	13	1996.2308	0
04/01/96	1.172	1996	14	1996.2500	0
04/08/96	1.195	1996	15	1996.2692	0
04/15/96	1.234	1996	16	1996.2885	0
04/22/96	1.243	1996	17	1996.3077	0
04/29/96	1.257	1996	18	1996.3269	0
05/06/96	1.259	1996	19	1996.3462	0
05/13/96	1.262	1996	20	1996.3654	0
05/20/96	1.269	1996	21	1996.3846	0
05/27/96	1.26	1996	22	1996.4038	0
06/03/96	1.252	1996	23	1996.4231	0
06/10/96	1.247	1996	24	1996.4423	0
06/17/96	1.241	1996	25	1996.4615	0
06/24/96	1.23	1996	26	1996.4808	0
07/01/96	1.219	1996	27	1996.5000	0
07/08/96	1.217	1996	28	1996.5192	0
07/15/96	1.215	1996	29	1996.5385	0
07/22/96	1.215	1996	30	1996.5577	0
07/29/96	1.209	1996	31	1996.5769	0
08/05/96	1.199	1996	32	1996.5962	0
08/12/96	1.196	1996	33	1996.6154	0
08/19/96	1.199	1996	34	1996.6346	0
08/26/96	1.201	1996	35	1996.6538	0
09/02/96	1.193	1996	36	1996.6731	0
09/09/96	1.201	1996	37	1996.6923	0
09/16/96	1.203	1996	38	1996.7115	0
09/23/96	1.203	1996	39	1996.7308	0
09/30/96	1.199	1996	40	1996.7500	0
10/07/96	1.191	1996	41	1996.7692	0
10/14/96	1.203	1996	42	1996.7885	0
10/21/96	1.205	1996	43	1996.8077	0
10/28/96	1.217	1996	44	1996.8269	0
11/04/96	1.225	1996	45	1996.8462	0
11/11/96	1.229	1996	46	1996.8654	0
11/18/96	1.238	1996	47	1996.8846	0
11/25/96	1.246	1996	48	1996.9038	0
12/02/96	1.242	1996	49	1996.9231	0
12/09/96	1.241	1996	50	1996.9423	0
12/16/96	1.233	1996	51	1996.9615	0
12/23/96	1.227	1996	52	1996.9808	0
12/30/96	1.224	1996	53	1997	0
01/06/97	1.22	1997	1	1997	0
01/13/97	1.235	1997	2	1997.0192	0
01/20/97	1.236	1997	3	1997.0385	0
01/27/97	1.232	1997	4	1997.0577	0
02/03/97	1.23	1997	5	1997.0769	0
02/10/97	1.227	1997	6	1997.0962	0
02/17/97	1.22	1997	7	1997.1154	0
02/24/97	1.217	1997	8	1997.1346	0
03/03/97	1.208	1997	9	1997.1538	0
03/10/97	1.199	1997	10	1997.1731	0
03/17/97	1.191	1997	11	1997.1923	0
03/24/97	1.196	1997	12	1997.2115	0
03/31/97	1.191	1997	13	1997.2308	0
04/07/97	1.192	1997	14	1997.2500	0
04/14/97	1.187	1997	15	1997.2692	0
04/21/97	1.188	1997	16	1997.2885	0
04/28/97	1.185	1997	17	1997.3077	0
05/05/97	1.182	1997	18	1997.3269	0
05/12/97	1.182	1997	19	1997.3462	0
05/19/97	1.195	1997	20	1997.3654	0
05/26/97	1.204	1997	21	1997.3846	0
06/02/97	1.206	1997	22	1997.4038	0
06/09/97	1.198	1997	23	1997.4231	0
06/16/97	1.189	1997	24	1997.4423	0
06/23/97	1.179	1997	25	1997.4615	0
06/30/97	1.171	1997	26	1997.4808	0
07/07/97	1.169	1997	27	1997.5000	0
07/14/97	1.165	1997	28	1997.5192	0
07/21/97	1.17	1997	29	1997.5385	0
07/28/97	1.164	1997	30	1997.5577	0
08/04/97	1.185	1997	31	1997.5769	0
08/11/97	1.219	1997	32	1997.5962	0
08/18/97	1.218	1997	33	1997.6154	0
08/25/97	1.23	1997	34	1997.6346	0
09/01/97	1.229	1997	35	1997.6538	0
09/08/97	1.227	1997	36	1997.6731	0
09/15/97	1.219	1997	37	1997.6923	0
09/22/97	1.208	1997	38	1997.7115	0
09/29/97	1.195	1997	39	1997.7308	0
10/06/97	1.195	1997	40	1997.7500	0
10/13/97	1.187	1997	41	1997.7692	0
10/20/97	1.178	1997	42	1997.7885	0
10/27/97	1.168	1997	43	1997.8077	0
11/03/97	1.163	1997	44	1997.8269	0
11/10/97	1.164	1997	45	1997.8462	0
11/17/97	1.156	1997	46	1997.8654	0
11/24/97	1.15	1997	47	1997.8846	0
12/01/97	1.14	1997	48	1997.9038	0
12/08/97	1.128	1997	49	1997.9231	0
12/15/97	1.118	1997	50	1997.9423	0
12/22/97	1.108	1997	51	1997.9615	0
12/29/97	1.099	1997	52	1997.9808	0
01/05/98	1.089	1998	1	1998	0
01/12/98	1.083	1998	2	1998.0192	0
01/19/98	1.072	1998	3	1998.0385	0
01/26/98	1.055	1998	4	1998.0577	0
02/02/98	1.051	1998	5	1998.0769	0
02/09/98	1.045	1998	6	1998.0962	0
02/16/98	1.032	1998	7	1998.1154	0
02/23/98	1.038	1998	8	1998.1346	0
03/02/98	1.025	1998	9	1998.1538	0
03/09/98	1.017	1998	10	1998.1731	0
03/16/98	1.006	1998	11	1998.1923	0
03/23/98	0.998	1998	12	1998.2115	0
03/30/98	1.026	1998	13	1998.2308	0
04/06/98	1.023	1998	14	1998.2500	0
04/13/98	1.018	1998	15	1998.2692	0
04/20/98	1.021	1998	16	1998.2885	0
04/27/98	1.032	1998	17	1998.3077	0
05/04/98	1.038	1998	18	1998.3269	0
05/11/98	1.052	1998	19	1998.3462	0
05/18/98	1.055	1998	20	1998.3654	0
05/25/98	1.052	1998	21	1998.3846	0
06/01/98	1.047	1998	22	1998.4038	0
06/08/98	1.06	1998	23	1998.4231	0
06/15/98	1.049	1998	24	1998.4423	0
06/22/98	1.041	1998	25	1998.4615	0
06/29/98	1.042	1998	26	1998.4808	0
07/06/98	1.041	1998	27	1998.5000	0
07/13/98	1.037	1998	28	1998.5192	0
07/20/98	1.044	1998	29	1998.5385	0
07/27/98	1.035	1998	30	1998.5577	0
08/03/98	1.023	1998	31	1998.5769	0
08/10/98	1.018	1998	32	1998.5962	0
08/17/98	1.011	1998	33	1998.6154	0
08/24/98	1.004	1998	34	1998.6346	0
08/31/98	0.998	1998	35	1998.6538	0
09/07/98	0.991	1998	36	1998.6731	0
09/14/98	0.987	1998	37	1998.6923	0
09/21/98	0.999	1998	38	1998.7115	0
09/28/98	0.999	1998	39	1998.7308	0
10/05/98	1.006	1998	40	1998.7500	0
10/12/98	1.01	1998	41	1998.7692	0
10/19/98	1.007	1998	42	1998.7885	0
10/26/98	1.001	1998	43	1998.8077	0
11/02/98	0.997	1998	44	1998.8269	0
11/09/98	0.994	1998	45	1998.8462	0
11/16/98	0.981	1998	46	1998.8654	0
11/23/98	0.971	1998	47	1998.8846	0
11/30/98	0.954	1998	48	1998.9038	0
12/07/98	0.933	1998	49	1998.9231	0
12/14/98	0.923	1998	50	1998.9423	0
12/21/98	0.921	1998	51	1998.9615	0
12/28/98	0.914	1998	52	1998.9808	0
01/04/99	0.913	1999	1	1999	0
01/11/99	0.92	1999	2	1999.0192	0
01/18/99	0.921	1999	3	1999.0385	0
01/25/99	0.913	1999	4	1999.0577	0
02/01/99	0.908	1999	5	1999.0769	0
02/08/99	0.907	1999	6	1999.0962	0
02/15/99	0.899	1999	7	1999.1154	0
02/22/99	0.885	1999	8	1999.1346	0
03/01/99	0.891	1999	9	1999.1538	0
03/08/99	0.9	1999	10	1999.1731	0
03/15/99	0.958	1999	11	1999.1923	0
03/22/99	0.999	1999	12	1999.2115	0
03/29/99	1.055	1999	13	1999.2308	0
04/05/99	1.087	1999	14	1999.2500	0
04/12/99	1.107	1999	15	1999.2692	0
04/19/99	1.103	1999	16	1999.2885	0
04/26/99	1.099	1999	17	1999.3077	0
05/03/99	1.107	1999	18	1999.3269	0
05/10/99	1.109	1999	19	1999.3462	0
05/17/99	1.112	1999	20	1999.3654	0
05/24/99	1.101	1999	21	1999.3846	0
05/31/99	1.088	1999	22	1999.4038	0
06/07/99	1.092	1999	23	1999.4231	0
06/14/99	1.088	1999	24	1999.4423	0
06/21/99	1.105	1999	25	1999.4615	0
06/28/99	1.095	1999	26	1999.4808	0
07/05/99	1.11	1999	27	1999.5000	0
07/12/99	1.123	1999	28	1999.5192	0
07/19/99	1.148	1999	29	1999.5385	0
07/26/99	1.172	1999	30	1999.5577	0
08/02/99	1.172	1999	31	1999.5769	0
08/09/99	1.183	1999	32	1999.5962	0
08/16/99	1.214	1999	33	1999.6154	0
08/23/99	1.212	1999	34	1999.6346	0
08/30/99	1.214	1999	35	1999.6538	0
09/06/99	1.223	1999	36	1999.6731	0
09/13/99	1.234	1999	37	1999.6923	0
09/20/99	1.252	1999	38	1999.7115	0
09/27/99	1.248	1999	39	1999.7308	0
10/04/99	1.242	1999	40	1999.7500	0
10/11/99	1.234	1999	41	1999.7692	0
10/18/99	1.22	1999	42	1999.7885	0
10/25/99	1.225	1999	43	1999.8077	0
11/01/99	1.218	1999	44	1999.8269	0
11/08/99	1.222	1999	45	1999.8462	0
11/15/99	1.24	1999	46	1999.8654	0
11/22/99	1.258	1999	47	1999.8846	0
11/29/99	1.262	1999	48	1999.9038	0
12/06/99	1.26	1999	49	1999.9231	0
12/13/99	1.263	1999	50	1999.9423	0
12/20/99	1.257	1999	51	1999.9615	0
12/27/99	1.263	1999	52	1999.9808	0
01/03/00	1.26	2000	1	2000	0
01/10/00	1.252	2000	2	2000.0192	0
01/17/00	1.268	2000	3	2000.0385	0
01/24/00	1.307	2000	4	2000.0577	0
01/31/00	1.307	2000	5	2000.0769	0
02/07/00	1.319	2000	6	2000.0962	0
02/14/00	1.35	2000	7	2000.1154	0
02/21/00	1.4	2000	8	2000.1346	0
02/28/00	1.413	2000	9	2000.1538	0
03/06/00	1.49	2000	10	2000.1731	0
03/13/00	1.511	2000	11	2000.1923	0
03/20/00	1.508	2000	12	2000.2115	0
03/27/00	1.484	2000	13	2000.2308	0
04/03/00	1.478	2000	14	2000.2500	0
04/10/00	1.447	2000	15	2000.2692	0
04/17/00	1.415	2000	16	2000.2885	0
04/24/00	1.406	2000	17	2000.3077	0
05/01/00	1.386	2000	18	2000.3269	0
05/08/00	1.427	2000	19	2000.3462	0
05/15/00	1.466	2000	20	2000.3654	0
05/22/00	1.494	2000	21	2000.3846	0
05/29/00	1.509	2000	22	2000.4038	0
06/05/00	1.535	2000	23	2000.4231	0
06/12/00	1.607	2000	24	2000.4423	0
06/19/00	1.664	2000	25	2000.4615	0
06/26/00	1.641	2000	26	2000.4808	0
07/03/00	1.606	2000	27	2000.5000	0
07/10/00	1.571	2000	28	2000.5192	0
07/17/00	1.521	2000	29	2000.5385	0
07/24/00	1.499	2000	30	2000.5577	0
07/31/00	1.447	2000	31	2000.5769	0
08/07/00	1.437	2000	32	2000.5962	0
08/14/00	1.42	2000	33	2000.6154	0
08/21/00	1.444	2000	34	2000.6346	0
08/28/00	1.456	2000	35	2000.6538	0
09/04/00	1.502	2000	36	2000.6731	0
09/11/00	1.535	2000	37	2000.6923	0
09/18/00	1.539	2000	38	2000.7115	0
09/25/00	1.525	2000	39	2000.7308	0
10/02/00	1.498	2000	40	2000.7500	0
10/09/00	1.473	2000	41	2000.7692	0
10/16/00	1.516	2000	42	2000.7885	0
10/23/00	1.532	2000	43	2000.8077	0
10/30/00	1.523	2000	44	2000.8269	0
11/06/00	1.502	2000	45	2000.8462	0
11/13/00	1.501	2000	46	2000.8654	0
11/20/00	1.487	2000	47	2000.8846	0
11/27/00	1.489	2000	48	2000.9038	0
12/04/00	1.464	2000	49	2000.9231	0
12/11/00	1.425	2000	50	2000.9423	0
12/18/00	1.396	2000	51	2000.9615	0
12/25/00	1.388	2000	52	2000.9808	0
01/01/01	1.377	2001	1	2001	0
01/08/01	1.4	2001	2	2001.0192	0
01/15/01	1.458	2001	3	2001.0385	0
01/22/01	1.456	2001	4	2001.0577	0
01/29/01	1.446	2001	5	2001.0769	0
02/05/01	1.426	2001	6	2001.0962	0
02/12/01	1.46	2001	7	2001.1154	0
02/19/01	1.429	2001	8	2001.1346	0
02/26/01	1.41	2001	9	2001.1538	0
03/05/01	1.393	2001	10	2001.1731	0
03/12/01	1.387	2001	11	2001.1923	0
03/19/01	1.377	2001	12	2001.2115	0
03/26/01	1.379	2001	13	2001.2308	0
04/02/01	1.411	2001	14	2001.2500	0
04/09/01	1.469	2001	15	2001.2692	0
04/16/01	1.535	2001	16	2001.2885	0
04/23/01	1.586	2001	17	2001.3077	0
04/30/01	1.585	2001	18	2001.3269	0
05/07/01	1.659	2001	19	2001.3462	0
05/14/01	1.663	2001	20	2001.3654	0
05/21/01	1.637	2001	21	2001.3846	0
05/28/01	1.656	2001	22	2001.4038	0
06/04/01	1.63	2001	23	2001.4231	0
06/11/01	1.58	2001	24	2001.4423	0
06/18/01	1.526	2001	25	2001.4615	0
06/25/01	1.454	2001	26	2001.4808	0
07/02/01	1.384	2001	27	2001.5000	0
07/09/01	1.35	2001	28	2001.5192	0
07/16/01	1.33	2001	29	2001.5385	0
07/23/01	1.318	2001	30	2001.5577	0
07/30/01	1.319	2001	31	2001.5769	0
08/06/01	1.319	2001	32	2001.5962	0
08/13/01	1.347	2001	33	2001.6154	0
08/20/01	1.399	2001	34	2001.6346	0
08/27/01	1.48	2001	35	2001.6538	0
09/03/01	1.538	2001	36	2001.6731	0
09/10/01	1.511	2001	37	2001.6923	0
09/17/01	1.516	2001	38	2001.7115	0
09/24/01	1.46	2001	39	2001.7308	0
10/01/01	1.381	2001	40	2001.7500	0
10/08/01	1.31	2001	41	2001.7692	0
10/15/01	1.264	2001	42	2001.7885	0
10/22/01	1.221	2001	43	2001.8077	0
10/29/01	1.193	2001	44	2001.8269	0
11/05/01	1.17	2001	45	2001.8462	0
11/12/01	1.147	2001	46	2001.8654	0
11/19/01	1.14	2001	47	2001.8846	0
11/26/01	1.097	2001	48	2001.9038	0
12/03/01	1.084	2001	49	2001.9231	0
12/10/01	1.075	2001	50	2001.9423	0
12/17/01	1.042	2001	51	2001.9615	0
12/24/01	1.063	2001	52	2001.9808	0
12/31/01	1.096	2001	53	2002	0
01/07/02	1.109	2002	1	2002	0
01/14/02	1.099	2002	2	2002.0192	0
01/21/02	1.087	2002	3	2002.0385	0
01/28/02	1.081	2002	4	2002.0577	0
02/04/02	1.098	2002	5	2002.0769	0
02/11/02	1.085	2002	6	2002.0962	0
02/18/02	1.089	2002	7	2002.1154	0
02/25/02	1.087	2002	8	2002.1346	0
03/04/02	1.118	2002	9	2002.1538	0
03/11/02	1.194	2002	10	2002.1731	0
03/18/02	1.262	2002	11	2002.1923	0
03/25/02	1.308	2002	12	2002.2115	0
04/01/02	1.339	2002	13	2002.2308	0
04/08/02	1.382	2002	14	2002.2500	0
04/15/02	1.368	2002	15	2002.2692	0
04/22/02	1.367	2002	16	2002.2885	0
04/29/02	1.353	2002	17	2002.3077	0
05/06/02	1.356	2002	18	2002.3269	0
05/13/02	1.349	2002	19	2002.3462	0
05/20/02	1.36	2002	20	2002.3654	0
05/27/02	1.348	2002	21	2002.3846	0
06/03/02	1.353	2002	22	2002.4038	0
06/10/02	1.332	2002	23	2002.4231	0
06/17/02	1.335	2002	24	2002.4423	0
06/24/02	1.342	2002	25	2002.4615	0
07/01/02	1.357	2002	26	2002.4808	0
07/08/02	1.345	2002	27	2002.5000	0
07/15/02	1.361	2002	28	2002.5192	0
07/22/02	1.381	2002	29	2002.5385	0
07/29/02	1.376	2002	30	2002.5577	0
08/05/02	1.355	2002	31	2002.5769	0
08/12/02	1.355	2002	32	2002.5962	0
08/19/02	1.357	2002	33	2002.6154	0
08/26/02	1.365	2002	34	2002.6346	0
09/02/02	1.353	2002	35	2002.6538	0
09/09/02	1.355	2002	36	2002.6731	0
09/16/02	1.367	2002	37	2002.6923	0
09/23/02	1.357	2002	38	2002.7115	0
09/30/02	1.385	2002	39	2002.7308	0
10/07/02	1.416	2002	40	2002.7500	0
10/14/02	1.422	2002	41	2002.7692	0
10/21/02	1.443	2002	42	2002.7885	0
10/28/02	1.427	2002	43	2002.8077	0
11/04/02	1.427	2002	44	2002.8269	0
11/11/02	1.406	2002	45	2002.8462	0
11/18/02	1.37	2002	46	2002.8654	0
11/25/02	1.336	2002	47	2002.8846	0
12/02/02	1.316	2002	48	2002.9038	0
12/09/02	1.316	2002	49	2002.9231	0
12/16/02	1.322	2002	50	2002.9423	0
12/23/02	1.371	2002	51	2002.9615	0
12/30/02	1.417	2002	52	2002.9808	0
01/06/03	1.412	2003	1	2003	0
01/13/03	1.423	2003	2	2003.0192	0
01/20/03	1.422	2003	3	2003.0385	0
01/27/03	1.437	2003	4	2003.0577	0
02/03/03	1.499	2003	5	2003.0769	0
02/10/03	1.582	2003	6	2003.0962	0
02/17/03	1.63	2003	7	2003.1154	0
02/24/03	1.617	2003	8	2003.1346	0
03/03/03	1.641	2003	9	2003.1538	0
03/10/03	1.663	2003	10	2003.1731	0
03/17/03	1.673	2003	11	2003.1923	0
03/24/03	1.626	2003	12	2003.2115	0
03/31/03	1.577	2003	13	2003.2308	0
04/07/03	1.557	2003	14	2003.2500	0
04/14/03	1.521	2003	15	2003.2692	0
04/21/03	1.504	2003	16	2003.2885	0
04/28/03	1.486	2003	17	2003.3077	0
05/05/03	1.441	2003	18	2003.3269	0
05/12/03	1.427	2003	19	2003.3462	0
05/19/03	1.444	2003	20	2003.3654	0
05/26/03	1.439	2003	21	2003.3846	0
06/02/03	1.428	2003	22	2003.4038	0
06/09/03	1.456	2003	23	2003.4231	0
06/16/03	1.48	2003	24	2003.4423	0
06/23/03	1.451	2003	25	2003.4615	0
06/30/03	1.443	2003	26	2003.4808	0
07/07/03	1.448	2003	27	2003.5000	0
07/14/03	1.489	2003	28	2003.5192	0
07/21/03	1.496	2003	29	2003.5385	0
07/28/03	1.488	2003	30	2003.5577	0
08/04/03	1.516	2003	31	2003.5769	0
08/11/03	1.55	2003	32	2003.5962	0
08/18/03	1.594	2003	33	2003.6154	0
08/25/03	1.693	2003	34	2003.6346	0
